ï..,ABCGivenIDforGDGT,Experiment,Temp,RPM,pH,Replicate,GrowthCurves,RI,Rate,SacrificeOD,GDGT-0,GDGT-1,GDGT-2,GDGT-3,GDGT-3 iso,GDGT-4,GDGT-4 iso,GDGT-5,GDGT-5 iso,GDGT-6,GDGT-7,GDGT-8
17,38,4,65,200,3,OD3,"list(1507801380, 1507827900, 1507853700, 1507884972, 1507940820, 1507973340, 1508001633, 1508025960, 1508058300, 1508087340, 1508111880, 1508147040, 1508172954, 1508200687, 1508230440, 1508258040, 1508286840, 1508317043, 1508345558, 1508373234, 1508403318, 1508429167) / list(0.0144, 0.0214, 0.0192, 0.0472, 0.1246, 0.177, 0.2798, 0.3764, 0.4682, 0.6038, 0.6836, 0.7922, 0.9018, 0.9296, 1.0364, 1.0482, 1.0498, 1.152, 1.145, 1.1666, 1.2024, 1.2282)",3.698323141,0.055461869,1.2282,27128,134956,934290,1964159,0,4709480,0,557824,0,19373,209,28
18,39,4,65,200,3,OD4,"list(1507801380, 1507827900, 1507853700, 1507884972, 1507940820, 1507973340, 1508001633, 1508025960, 1508058300, 1508087340, 1508111880, 1508147040, 1508172954, 1508200687, 1508230440, 1508258040, 1508286840, 1508317043, 1508345558, 1508373234, 1508403318, 1508429167) / list(0.0098, 0.0262, 0.0304, 0.0508, 0.1404, 0.2092, 0.323, 0.413, 0.5256, 0.6738, 0.783, 0.9198, 1.0234, 1.012, 1.0418, 1.0652, 1.05, 1.1894, 1.2346, 1.2804, 1.369, 1.391)",3.550903408,0.054600427,1.391,34479,172612,1214481,2666781,0,7020725,0,910327,0,30689,171,46
19,40,4,65,200,3,OD5,"list(1507801380, 1507827900, 1507853700, 1507884972, 1507940820, 1507973340, 1508001633, 1508025960, 1508058300, 1508087340, 1508111880, 1508147040, 1508172954, 1508200687, 1508230440, 1508258040, 1508286840, 1508317043, 1508345558, 1508373234, 1508403318, 1508429167) / list(0.005, 0.022, 0.0226, 0.0452, 0.1198, 0.1816, 0.2802, 0.368, 0.4856, 0.607, 0.7162, 0.8472, 0.9886, 0.9998, 1.0522, 1.0274, 1.0554, 1.1676, 1.223, 1.2428, 1.361, 1.4294)",3.603405008,0.062839594,1.4294,33739,184389,1325276,2823354,0,7211353,0,1003741,0,34180,376,47
20,3,5,70,200,3,OD1,"list(1504097340, 1504128300, 1504174500, 1504206180, 1504221180, 1504257480, 1504290180, 1504310931, 1504348581, 1504379045, 1504433166, 1504462479) / list(-0.004, 0.0282, 0.1274, 0.2896, 0.413, 0.7178, 1.3494, 1.5236, 1.688, 1.774, 2.0188, 2.0494)",3.858590307,0.077288251,2.0494,15363,46249,307978,898206,0,2891564,144804,873285,0,59901,315,36
21,18,5,70,200,3,OD2,"list(1504097340, 1504128300, 1504174500, 1504206180, 1504221180, 1504257480, 1504290180, 1504310931, 1504348581, 1504379045, 1504433166, 1504462479) / list(0.0408, 0.0306, 0.1114, 0.2744, 0.4048, 0.705, 1.0818, 1.2868, 1.5566, 1.6954, 1.9188, 2.0198)",3.759480189,0.073174755,2.0198,10568,46870,315664,659648,0,2050243,118406,579010,0,0,4285,42
22,8,5,70,200,3,OD3,"list(1504097340, 1504128300, 1504174500, 1504206180, 1504221180, 1504257480, 1504290180, 1504310931, 1504348581, 1504379045, 1504433166, 1504462479) / list(-0.003, 0.0264, 0.1092, 0.2692, 0.4012, 0.7234, 1.0844, 1.2992, 1.6334, 1.7566, 1.9666, 2.0794)",3.66342981,0.075745893,2.0794,135507,573069,3650464,7632784,0,15359162,1336957,5229909,0,421701,2121,1584
23,12,5,70,200,3,OD4,"list(1504097340, 1504128300, 1504174500, 1504206180, 1504221180, 1504257480, 1504290180, 1504310931, 1504348581, 1504379045, 1504433166, 1504462479) / list(-0.0046, 0.0266, 0.094, 0.2208, 0.3358, 0.6364, 0.9844, 1.2868, 1.5252, 1.6136, 1.8456, 1.9282)",3.683256529,0.0759533,1.9282,10579,43699,318089,765185,0,1807020,100645,480407,0,4048,0,35
24,5,5,70,200,3,OD5,"list(1504097340, 1504128300, 1504174500, 1504206180, 1504221180, 1504257480, 1504290180, 1504310931, 1504348581, 1504379045, 1504433166, 1504462479) / list(-0.007, 0.0272, 0.0874, 0.179, 0.2396, 0.45, 0.678, 0.8942, 1.2698, 1.4618, 1.6662, 1.739)",3.69131328,0.067754515,1.739,73430,329163,2189922,4706823,0,11331008,488473,3500075,0,0,10897,88
25,14,6,75,200,3,OD1,"list(1503346740, 1503394500, 1503413460, 1503432000, 1503448140, 1503478620, 1503500773, 1503519240, 1503534780, 1503564000, 1503581640, 1503597330) / list(0.0162, 0.048, 0.1554, 0.3216, 0.4846, 0.8494, 1.1094, 1.2784, 1.4024, 1.4678, 1.5486, 1.5422)",4.144441937,0.105192297,1.5422,23530,88320,546741,773101,75910,2284711,446714,2107240,58177,472596,24127,3573
26,15,6,75,200,3,OD2,"list(1503346740, 1503394500, 1503413460, 1503432000, 1503448140, 1503478620, 1503500773, 1503519240, 1503534780, 1503564000, 1503581640, 1503597330) / list(0.032, 0.0494, 0.1346, 0.276, 0.4266, 0.75, 0.9578, 1.182, 1.3146, 1.3666, 1.457, 1.4694)",4.214593256,0.086039637,1.4694,7898,29461,190501,326785,32888,933181,140212,874784,45724,236340,11233,1777
27,17,6,75,200,3,OD3,"list(1503346740, 1503394500, 1503413460, 1503432000, 1503448140, 1503478620, 1503500773, 1503519240, 1503534780, 1503564000, 1503581640, 1503597330) / list(0.028, 0.0722, 0.1496, 0.2872, 0.465, 0.8142, 1.0522, 1.2598, 1.4078, 1.4588, 1.5656, 1.5868)",4.18477736,0.090362861,1.5868,12677,50482,287184,486718,0,1289589,222063,1292177,31870,303858,15128,2261
28,9,6,75,200,3,OD4,"list(1503346740, 1503394500, 1503413460, 1503432000, 1503448140, 1503478620, 1503500773, 1503519240, 1503534780, 1503564000, 1503581640, 1503597330) / list(0.0628, 0.0544, 0.1724, 0.3426, 0.5626, 1.0486, 1.2944, 1.414, 1.4844, 1.7202, 1.941, 2.0018)",3.509149695,0.088814278,2.0018,266386,1190945,8688426,12406069,1652931,10883641,5436918,8951970,504240,1867008,1872,1441
29,21,6,75,200,3,OD5,"list(1503346740, 1503394500, 1503413460, 1503432000, 1503448140, 1503478620, 1503500773, 1503519240, 1503534780, 1503564000, 1503581640, 1503597330) / list(0.0268, 0.0588, 0.1414, 0.2676, 0.421, 0.716, 0.9718, 1.091, 1.261, 1.3288, 1.4218, 1.4472)",4.159884424,0.090020372,1.4472,12214,45024,270903,510700,0,1362048,276912,1245583,32626,263208,17212,2258
30,20,7,80,200,3,OD1,"list(1503346800, 1503394620, 1503413520, 1503432120, 1503448200, 1503478740, 1503500862, 1503519300, 1503534900, 1503564240, 1503581760, 1503597462) / list(0.0206, 0.063, 0.2326, 0.4884, 0.7024, 1.043, 1.285, 1.3606, 1.3918, 1.4882, 1.5778, 1.669)",4.49987626,0.103028404,1.669,21121,65631,378547,524705,96390,884698,401223,2040505,196627,957954,13741,2396
31,19,7,80,200,3,OD2,"list(1503346800, 1503394620, 1503413520, 1503432120, 1503448200, 1503478740, 1503500862, 1503519300, 1503534900, 1503564240, 1503581760, 1503597462) / list(0.0078, 0.0654, 0.1958, 0.4338, 0.6328, 0.9868, 1.2366, 1.3178, 1.367, 1.247, 1.4934, 1.5748)",4.596579237,0.119884267,1.5748,5181,13529,80871,106999,20376,218012,101280,509836,50377,267808,196,399
32,16,7,80,200,3,OD3,"list(1503346800, 1503394620, 1503413520, 1503432120, 1503448200, 1503478740, 1503500862, 1503519300, 1503534900, 1503564240, 1503581760, 1503597462) / list(0.038, 0.0744, 0.2178, 0.4508, 0.63, 0.9686, 1.1896, 1.245, 1.3108, 1.4436, 1.4142, 1.5048)",4.611584145,0.088066151,1.5048,12618,33779,184794,283531,46124,464545,217324,1162982,142393,668129,8048,1549
33,2,7,80,200,3,OD4,"list(1503346800, 1503394620, 1503413520, 1503432120, 1503448200, 1503478740, 1503500862, 1503519300, 1503534900, 1503564240, 1503581760, 1503597462) / list(0.007, 0.0584, 0.1978, 0.4278, 0.5992, 1.0248, 1.1344, 1.265, 1.2992, 1.4814, 1.4074, 1.4982)",4.467807628,0.12161485,1.4982,127926,342581,1800599,2852335,433651,3891228,2447994,7923142,1393247,5217018,0,0
34,7,7,80,200,3,OD5,"list(1503346800, 1503394620, 1503413520, 1503432120, 1503448200, 1503478740, 1503500862, 1503519300, 1503534900, 1503564240, 1503581760, 1503597462) / list(0.0148, 0.0582, 0.1856, 0.4106, 0.6024, 1.0044, 1.3246, 1.5602, 1.6252, 1.672, 1.8756, 2.0166)",4.67352311,0.110119057,2.0166,65971,376533,55876,1441992,222090,2839200,1048297,4439032,443773,1992684,11452,1717
45,24,10,70,300,3,OD1,"list(1505648493, 1505676686, 1505696206, 1505723904, 1505753969, 1505783868, 1505807952, 1505840016, 1505869338, 1505898123, 1505926133, 1505953408, 1505984407, 1506012804) / list(-0.0054, 0.0278, 0.042, 0.0842, 0.1732, 0.3262, 0.5588, 0.891, 1.3378, 1.8258, 2.2592, 2.5874, 2.7682, 2.7992)",3.900636848,0.078708965,2.7992,4770,19853,110131,252581,0,1069667,30161,328582,0,20836,96,351
46,25,10,70,300,3,OD2,"list(1505648493, 1505676686, 1505696206, 1505723904, 1505753969, 1505783868, 1505807952, 1505840016, 1505869338, 1505898123, 1505926133, 1505953408, 1505984407, 1506012804) / list(-0.0054, 0.0292, 0.0424, 0.0892, 0.187, 0.3624, 0.5528, 0.889, 1.3164, 1.5328, 1.7048, 1.8598, 2.0404, 2.268)",3.679299648,0.078052746,2.268,34747,167376,1166690,2181669,0,5116374,327370,1630885,0,94419,445,508
47,26,10,70,300,3,OD3,"list(1505648493, 1505676686, 1505696206, 1505723904, 1505753969, 1505783868, 1505807952, 1505840016, 1505869338, 1505898123, 1505926133, 1505953408, 1505984407, 1506012804) / list(-8e-04, 0.0326, 0.0538, 0.1122, 0.2324, 0.4284, 0.607, 0.9364, 1.1264, 1.213, 1.2758, 1.359, 1.4338, 1.4754)",3.544235354,0.075463877,1.4754,21308,83866,688124,1144997,0,2429201,161520,538448,0,30502,2472,50
48,27,10,70,300,3,OD4,"list(1505648493, 1505676686, 1505696206, 1505723904, 1505753969, 1505783868, 1505807952, 1505840016, 1505869338, 1505898123, 1505926133, 1505953408, 1505984407, 1506012804) / list(0.0016, 0.0398, 0.055, 0.1238, 0.2254, 0.4138, 0.6112, 0.9742, 1.866, 1.643, 1.8396, 2.0448, 2.2664, 2.4496)",3.43476668,0.113959764,2.4496,15413,74755,619938,1121792,0,1741982,163448,359154,0,23121,1581,88
49,28,10,70,300,3,OD5,"list(1505648493, 1505676686, 1505696206, 1505723904, 1505753969, 1505783868, 1505807952, 1505840016, 1505869338, 1505898123, 1505926133, 1505953408, 1505984407, 1506012804) / list(0.0018, 0.0324, 0.0448, 0.092, 0.1828, 0.3354, 0.4736, 0.722, 0.9656, 1.0926, 1.1582, 1.2242, 1.2806, 1.3596)",3.410455519,0.108688537,1.3596,27144,133936,930129,1679581,0,2710875,172812,463504,0,31226,176,62
1,NA,1,70,200,3.96,OD1,"list(1523629200, 1523649300, 1523667240, 1523689440, 1523709960, 1523727300, 1523744220, 1523778060, 1523802000, 1523834400, 1523878560, 1523914380, 1523964480) / list(0.025, 0.038, 0.066, 0.117, 0.098, 0.17, 0.218, 0.308, 0.358, 0.39, 0.44, 0.467, 0.483)",3.08,0.060263955,0.483,144496.5044,624883.1852,3632742.326,4755629.452,0,5284935.051,0,337254.9424,0,6838.784992,0,0
2,NA,1,70,200,3.96,OD2,"list(1523629200, 1523649300, 1523667240, 1523689440, 1523709960, 1523727300, 1523744220, 1523778060, 1523802000, 1523834400, 1523878560, 1523914380, 1523964480) / list(0.021, 0.028, 0.054, 0.096, 0.077, 0.147, 0.192, 0.291, 0.351, 0.388, 0.444, 0.477, 0.504)",2.98,0.05968473,0.504,43405.31528,189063.6669,1095022.512,1324403.101,0,1341588.236,0,69467.66543,0,1594.290401,0,0
3,NA,1,70,200,3.96,OD3,"list(1523629200, 1523649300, 1523667240, 1523689440, 1523709960, 1523727300, 1523744220, 1523778060, 1523802000, 1523834400, 1523878560, 1523914380, 1523964480) / list(0.029, 0.042, 0.072, 0.123, 0.1, 0.183, 0.231, 0.314, 0.361, 0.397, 0.434, 0.475, 0.542)",3.08,0.05775354,0.542,14071.97424,60484.27838,388824.0068,518451.5267,0,611098.5116,0,31535.13727,0,845.1556572,0,0
4,NA,1,70,200,3.96,OD4,"list(1523629200, 1523649300, 1523667240, 1523689440, 1523709960, 1523727300, 1523744220, 1523778060, 1523802000, 1523834400, 1523878560, 1523914380, 1523964480) / list(0.023, 0.033, 0.061, 0.112, 0.09, 0.165, 0.215, 0.302, 0.352, 0.387, 0.435, 0.467, 0.479)",3.04,0.062702251,0.479,150158.2304,671830.047,3825724.292,4643261.275,0,4779593.718,0,286795.7601,0,5919.966228,0,0
5,NA,1,70,200,3.96,OD5,"list(1523629200, 1523649300, 1523667240, 1523689440, 1523709960, 1523727300, 1523744220, 1523778060, 1523802000, 1523834400, 1523878560, 1523914380, 1523964480) / list(0.025, 0.037, 0.068, 0.125, 0.11, 0.17, 0.217, 0.308, 0.352, 0.385, 0.431, 0.447, 0.464)",2.97,0.060415195,0.464,122032.5056,556092.3875,3378996.616,4648533.723,0,5321110.122,0,325556.1029,0,5882.498789,0,0
